"SEF";"IBGE2";"IBGE1"
1;10;310010
2;20;310020
3;30;310030
4;40;310040
5;50;310050
6;60;310060
7;70;310070
8;80;310080
9;90;310090
10;100;310100
11;110;310110
12;120;310120
13;130;310130
14;140;310140
15;150;310150
16;160;310160
724;163;310163
17;170;310170
18;180;310180
19;190;310190
20;200;310200
769;205;310205
21;210;310210
22;220;310220
23;230;310230
24;240;310240
25;250;310250
26;260;310260
27;270;310270
28;280;310280
770;285;310285
29;290;310290
30;300;310300
31;310;310310
32;320;310320
33;330;310330
34;340;310340
35;350;310350
36;360;310360
37;370;310370
725;375;310375
38;380;310380
39;390;310390
40;400;310400
41;410;310410
42;420;310420
43;430;310430
44;440;310440
771;445;310445
45;450;310450
46;460;310460
47;470;310470
48;480;310480
49;490;310490
50;500;310500
51;510;310510
52;520;310520
53;530;310530
54;540;310540
55;550;310550
56;560;310560
57;570;310570
59;590;310590
60;600;310600
61;610;310610
62;620;310620
63;630;310630
64;640;310640
65;650;310650
66;660;310660
772;665;310665
67;670;310670
68;680;310680
69;690;310690
70;700;310700
71;710;310710
72;720;310720
73;730;310730
74;740;310740
75;750;310750
76;760;310760
77;770;310770
78;780;310780
79;790;310790
80;800;310800
81;810;310810
82;820;310820
773;825;310825
83;830;310830
84;840;310840
85;850;310850
774;855;310855
86;860;310860
87;870;310870
88;880;310880
89;890;310890
90;900;310900
91;910;310910
92;920;310920
775;925;310925
93;930;310930
94;940;310940
776;945;310945
95;950;310950
96;960;310960
97;970;310970
98;980;310980
99;990;310990
100;1000;311000
101;1010;311010
102;1020;311020
103;1030;311030
104;1040;311040
105;1050;311050
106;1060;311060
107;1070;311070
108;1080;311080
109;1090;311090
110;1100;311100
111;1110;311110
777;1115;311115
112;1120;311120
113;1130;311130
114;1140;311140
115;1150;311150
116;1160;311160
117;1170;311170
118;1180;311180
119;1190;311190
120;1200;311200
778;1205;311205
121;1210;311210
122;1220;311220
123;1230;311230
124;1240;311240
125;1250;311250
126;1260;311260
727;1265;311265
127;1270;311270
128;1280;311280
129;1290;311290
130;1300;311300
131;1310;311310
132;1320;311320
133;1330;311330
134;1340;311340
135;1350;311350
136;1360;311360
137;1370;311370
138;1380;311380
139;1390;311390
140;1400;311400
141;1410;311410
142;1420;311420
143;1430;311430
144;1440;311440
145;1450;311450
728;1455;311455
146;1460;311460
147;1470;311470
148;1480;311480
149;1490;311490
150;1500;311500
151;1510;311510
152;1520;311520
153;1530;311530
779;1535;311535
154;1540;311540
729;1545;311545
780;1547;311547
155;1550;311550
156;1560;311560
157;1570;311570
158;1580;311580
159;1590;311590
160;1600;311600
161;1610;311610
781;1615;311615
162;1620;311620
163;1630;311630
164;1640;311640
165;1650;311650
166;1660;311660
167;1670;311670
168;1680;311680
169;1690;311690
170;1700;311700
171;1710;311710
173;1720;311720
172;1730;311730
174;1740;311740
175;1750;311750
176;1760;311760
177;1770;311770
178;1780;311780
782;1783;311783
783;1787;311787
179;1790;311790
180;1800;311800
181;1810;311810
182;1820;311820
183;1830;311830
184;1840;311840
185;1850;311850
186;1860;311860
187;1870;311870
188;1880;311880
189;1890;311890
190;1900;311900
191;1910;311910
192;1920;311920
193;1930;311930
194;1940;311940
195;1950;311950
196;1960;311960
197;1970;311970
198;1980;311980
199;1990;311990
784;1995;311995
200;2000;312000
201;2010;312010
785;2015;312015
202;2020;312020
203;2030;312030
204;2040;312040
205;2050;312050
206;2060;312060
207;2070;312070
208;2080;312080
786;2083;312083
787;2087;312087
209;2090;312090
210;2100;312100
211;2110;312110
212;2120;312120
864;2125;312125
213;2130;312130
214;2140;312140
215;2150;312150
216;2160;312160
217;2170;312170
218;2180;312180
219;2190;312190
220;2200;312200
221;2210;312210
222;2220;312220
223;2230;312230
788;2235;312235
224;2240;312240
731;2245;312245
789;2247;312247
225;2250;312250
226;2260;312260
227;2270;312270
228;2280;312280
229;2290;312290
230;2300;312300
231;2310;312310
232;2320;312320
233;2330;312330
234;2340;312340
235;2350;312350
732;2352;312352
236;2360;312360
237;2370;312370
238;2380;312380
733;2385;312385
239;2390;312390
240;2400;312400
241;2410;312410
242;2420;312420
243;2430;312430
244;2440;312440
245;2450;312450
246;2460;312460
247;2470;312470
248;2480;312480
249;2490;312490
250;2500;312500
251;2510;312510
252;2520;312520
253;2530;312530
254;2540;312540
255;2550;312550
256;2560;312560
257;2570;312570
258;2580;312580
259;2590;312590
734;2595;312595
260;2600;312600
261;2610;312610
262;2620;312620
263;2630;312630
264;2640;312640
265;2650;312650
266;2660;312660
267;2670;312670
790;2675;312675
268;2680;312680
269;2690;312690
791;2695;312695
270;2700;312700
468;2705;312705
792;2707;312707
271;2710;312710
272;2720;312720
273;2730;312730
793;2733;312733
794;2735;312735
795;2737;312737
796;2738;312738
274;2740;312740
275;2750;312750
276;2760;312760
277;2770;312770
278;2780;312780
279;2790;312790
280;2800;312800
281;2810;312810
282;2820;312820
797;2825;312825
283;2830;312830
284;2840;312840
285;2850;312850
286;2860;312860
287;2870;312870
288;2880;312880
289;2890;312890
290;2900;312900
291;2910;312910
292;2920;312920
293;2930;312930
294;2940;312940
295;2950;312950
296;2960;312960
798;2965;312965
297;2970;312970
298;2980;312980
299;2990;312990
300;3000;313000
736;3005;313005
301;3010;313010
302;3020;313020
303;3030;313030
304;3040;313040
305;3050;313050
799;3055;313055
306;3060;313060
800;3065;313065
307;3070;313070
308;3080;313080
309;3090;313090
310;3100;313100
311;3110;313110
737;3115;313115
312;3120;313120
313;3130;313130
314;3140;313140
315;3150;313150
316;3160;313160
317;3170;313170
318;3180;313180
319;3190;313190
320;3200;313200
321;3210;313210
322;3220;313220
323;3230;313230
324;3240;313240
325;3250;313250
326;3260;313260
327;3270;313270
328;3280;313280
329;3290;313290
330;3300;313300
331;3310;313310
332;3320;313320
333;3330;313330
334;3340;313340
335;3350;313350
336;3360;313360
337;3370;313370
723;3375;313375
338;3380;313380
339;3390;313390
340;3400;313400
341;3410;313410
342;3420;313420
343;3430;313430
344;3440;313440
345;3450;313450
346;3460;313460
347;3470;313470
348;3480;313480
349;3490;313490
350;3500;313500
738;3505;313505
739;3507;313507
351;3510;313510
352;3520;313520
353;3530;313530
865;3535;313535
354;3540;313540
801;3545;313545
355;3550;313550
356;3560;313560
357;3570;313570
358;3580;313580
359;3590;313590
360;3600;313600
361;3610;313610
362;3620;313620
363;3630;313630
364;3640;313640
365;3650;313650
802;3652;313652
803;3655;313655
804;3657;313657
366;3660;313660
740;3665;313665
367;3670;313670
368;3680;313680
369;3690;313690
805;3695;313695
370;3700;313700
371;3710;313710
372;3720;313720
373;3730;313730
374;3740;313740
375;3750;313750
741;3753;313753
376;3760;313760
377;3770;313770
378;3780;313780
379;3790;313790
380;3800;313800
381;3810;313810
382;3820;313820
383;3830;313830
806;3835;313835
384;3840;313840
385;3850;313850
386;3860;313860
742;3862;313862
743;3865;313865
807;3867;313867
808;3868;313868
387;3870;313870
388;3880;313880
389;3890;313890
390;3900;313900
391;3910;313910
392;3920;313920
744;3925;313925
393;3930;313930
394;3940;313940
395;3950;313950
396;3960;313960
397;3970;313970
398;3980;313980
399;3990;313990
400;4000;314000
401;4010;314010
809;4015;314015
402;4020;314020
403;4030;314030
404;4040;314040
405;4050;314050
810;4053;314053
745;4055;314055
406;4060;314060
407;4070;314070
408;4080;314080
746;4085;314085
409;4090;314090
410;4100;314100
411;4110;314110
412;4120;314120
413;4130;314130
414;4140;314140
415;4150;314150
416;4160;314160
417;4170;314170
418;4180;314180
419;4190;314190
420;4200;314200
421;4210;314210
422;4220;314220
811;4225;314225
423;4230;314230
424;4240;314240
425;4250;314250
426;4260;314260
427;4270;314270
428;4280;314280
429;4290;314290
430;4300;314300
431;4310;314310
812;4315;314315
432;4320;314320
433;4330;314330
434;4340;314340
747;4345;314345
435;4350;314350
436;4360;314360
437;4370;314370
438;4380;314380
439;4390;314390
440;4400;314400
441;4410;314410
442;4420;314420
443;4430;314430
813;4435;314435
814;4437;314437
444;4440;314440
445;4450;314450
446;4460;314460
815;4465;314465
816;4467;314467
447;4470;314470
448;4480;314480
449;4490;314490
